# --- full sequence --- -------------- this domain ------------- hmm coord ali coord env coord
# target name accession tlen query name accession qlen E-value score bias # of c-Evalue i-Evalue score bias from to from to from to acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108_T514.1-R1 - 851 KELK PF15796.7 80 0.00025 12.1 3.8 1 2 3.1e-05 0.00068 10.7 1.1 17 46 25 54 9 70 0.79 -
108_T514.1-R1 - 851 KELK PF15796.7 80 0.00025 12.1 3.8 2 2 0.039 0.87 0.8 0.1 49 64 113 128 108 135 0.85 -
108_T207-R1 - 950 LRR_1 PF00560.35 23 0.00049 11.4 8.3 1 5 4.9 9.8 -1.7 0.1 2 21 536 547 523 553 0.63 -
108_T207-R1 - 950 LRR_1 PF00560.35 23 0.00049 11.4 8.3 2 5 0.02 0.041 5.6 0.0 1 22 559 580 559 581 0.83 -
108_T207-R1 - 950 LRR_1 PF00560.35 23 0.00049 11.4 8.3 3 5 0.042 0.085 4.6 0.0 1 17 583 599 583 601 0.90 -
108_T207-R1 - 950 LRR_1 PF00560.35 23 0.00049 11.4 8.3 4 5 4.7 9.4 -1.6 0.1 1 12 606 617 606 628 0.70 -
108_T207-R1 - 950 LRR_1 PF00560.35 23 0.00049 11.4 8.3 5 5 1.1 2.1 0.4 0.0 4 17 814 827 798 832 0.80 -
108_T319.2-R1 - 895 LRR_1 PF00560.35 23 0.0021 9.5 13.3 1 5 0.0017 0.0034 8.8 0.1 2 23 565 586 564 586 0.92 -
108_T319.2-R1 - 895 LRR_1 PF00560.35 23 0.0021 9.5 13.3 2 5 0.11 0.22 3.3 0.0 1 12 588 599 588 609 0.79 -
108_T319.2-R1 - 895 LRR_1 PF00560.35 23 0.0021 9.5 13.3 3 5 9.2 18 -2.5 0.1 1 8 660 667 660 669 0.88 -
108_T319.2-R1 - 895 LRR_1 PF00560.35 23 0.0021 9.5 13.3 4 5 2.1 4.2 -0.6 0.2 1 10 746 755 729 773 0.62 -
108_T319.2-R1 - 895 LRR_1 PF00560.35 23 0.0021 9.5 13.3 5 5 0.82 1.6 0.7 0.1 2 17 826 841 825 845 0.83 -
108_T458-R1 - 882 LRR_1 PF00560.35 23 0.0027 9.1 10.9 1 5 0.0049 0.0099 7.4 0.1 1 17 565 581 565 587 0.74 -
108_T458-R1 - 882 LRR_1 PF00560.35 23 0.0027 9.1 10.9 2 5 0.023 0.047 5.4 0.1 1 16 589 604 589 610 0.87 -
108_T458-R1 - 882 LRR_1 PF00560.35 23 0.0027 9.1 10.9 3 5 4.4 8.9 -1.6 0.1 2 9 613 620 612 627 0.82 -
108_T458-R1 - 882 LRR_1 PF00560.35 23 0.0027 9.1 10.9 4 5 9.6 19 -2.6 0.0 1 20 635 648 635 652 0.74 -
108_T458-R1 - 882 LRR_1 PF00560.35 23 0.0027 9.1 10.9 5 5 8.5 17 -2.4 0.0 1 8 760 767 760 770 0.88 -
108_T329-R1 - 856 LRR_1 PF00560.35 23 0.0066 8.0 8.7 1 5 2.5 5.1 -0.8 0.1 1 16 534 549 534 556 0.74 -
108_T329-R1 - 856 LRR_1 PF00560.35 23 0.0066 8.0 8.7 2 5 0.005 0.01 7.4 0.2 2 23 559 580 558 580 0.91 -
108_T329-R1 - 856 LRR_1 PF00560.35 23 0.0066 8.0 8.7 3 5 0.74 1.5 0.8 0.0 1 11 582 592 582 602 0.78 -
108_T329-R1 - 856 LRR_1 PF00560.35 23 0.0066 8.0 8.7 4 5 9.2 18 -2.5 0.0 1 9 763 771 763 779 0.82 -
108_T329-R1 - 856 LRR_1 PF00560.35 23 0.0066 8.0 8.7 5 5 4.2 8.4 -1.5 0.0 1 11 824 834 824 841 0.82 -
108_T461-R1 - 910 LRR_1 PF00560.35 23 0.014 7.0 16.4 1 7 3.7 7.5 -1.3 0.0 1 17 534 550 534 553 0.80 -
108_T461-R1 - 910 LRR_1 PF00560.35 23 0.014 7.0 16.4 2 7 0.19 0.38 2.6 0.0 2 19 560 576 559 580 0.77 -
108_T461-R1 - 910 LRR_1 PF00560.35 23 0.014 7.0 16.4 3 7 0.022 0.044 5.5 0.0 1 19 605 623 605 627 0.89 -
108_T461-R1 - 910 LRR_1 PF00560.35 23 0.014 7.0 16.4 4 7 4.3 8.6 -1.5 0.0 1 8 630 637 630 643 0.85 -
108_T461-R1 - 910 LRR_1 PF00560.35 23 0.014 7.0 16.4 5 7 0.41 0.83 1.6 0.3 1 12 718 729 718 758 0.63 -
108_T461-R1 - 910 LRR_1 PF00560.35 23 0.014 7.0 16.4 6 7 0.99 2 0.4 0.2 1 12 773 784 773 795 0.80 -
108_T461-R1 - 910 LRR_1 PF00560.35 23 0.014 7.0 16.4 7 7 2.5 5 -0.8 0.0 2 12 853 863 852 871 0.77 -
108_T256-R1 - 900 LRR_1 PF00560.35 23 0.02 6.5 7.7 1 4 9.3 19 -2.5 0.1 13 23 412 422 398 424 0.50 -
108_T256-R1 - 900 LRR_1 PF00560.35 23 0.02 6.5 7.7 2 4 9.2 18 -2.5 0.0 2 9 579 586 579 601 0.61 -
108_T256-R1 - 900 LRR_1 PF00560.35 23 0.02 6.5 7.7 3 4 6.4 13 -2.0 0.1 1 14 708 721 696 725 0.71 -
108_T256-R1 - 900 LRR_1 PF00560.35 23 0.02 6.5 7.7 4 4 0.002 0.004 8.6 0.1 1 22 769 790 769 792 0.81 -
108_T319.1-R1 - 839 LRR_1 PF00560.35 23 0.048 5.3 20.3 1 6 5.8 12 -1.9 0.0 1 13 499 511 499 519 0.72 -
108_T319.1-R1 - 839 LRR_1 PF00560.35 23 0.048 5.3 20.3 2 6 0.018 0.036 5.7 0.1 2 21 525 544 524 546 0.81 -
108_T319.1-R1 - 839 LRR_1 PF00560.35 23 0.048 5.3 20.3 3 6 0.0095 0.019 6.6 0.4 1 19 548 566 548 587 0.88 -
108_T319.1-R1 - 839 LRR_1 PF00560.35 23 0.048 5.3 20.3 4 6 1.2 2.3 0.2 0.0 2 23 671 700 670 700 0.69 -
108_T319.1-R1 - 839 LRR_1 PF00560.35 23 0.048 5.3 20.3 5 6 0.79 1.6 0.7 0.0 1 10 722 731 722 741 0.76 -
108_T319.1-R1 - 839 LRR_1 PF00560.35 23 0.048 5.3 20.3 6 6 1.2 2.4 0.2 0.2 1 12 753 773 753 797 0.72 -
108_T317-R1 - 927 LRR_1 PF00560.35 23 0.25 3.2 10.8 1 6 7.1 14 -2.2 0.2 7 21 422 436 406 438 0.69 -
108_T317-R1 - 927 LRR_1 PF00560.35 23 0.25 3.2 10.8 2 6 0.17 0.34 2.8 0.0 2 20 583 600 583 603 0.87 -
108_T317-R1 - 927 LRR_1 PF00560.35 23 0.25 3.2 10.8 3 6 0.13 0.25 3.2 0.2 1 22 605 625 605 626 0.75 -
108_T317-R1 - 927 LRR_1 PF00560.35 23 0.25 3.2 10.8 4 6 9.9 20 -2.6 0.1 1 12 780 791 780 804 0.72 -
108_T317-R1 - 927 LRR_1 PF00560.35 23 0.25 3.2 10.8 5 6 3.3 6.7 -1.2 0.0 2 23 852 873 851 873 0.82 -
108_T317-R1 - 927 LRR_1 PF00560.35 23 0.25 3.2 10.8 6 6 6.2 12 -2.0 0.1 1 8 875 885 875 894 0.71 -
108_T208-R1 - 973 LRR_1 PF00560.35 23 0.43 2.4 12.6 1 4 0.028 0.056 5.1 0.1 1 23 548 570 548 570 0.86 -
108_T208-R1 - 973 LRR_1 PF00560.35 23 0.43 2.4 12.6 2 4 0.42 0.83 1.6 0.1 1 16 572 587 572 590 0.85 -
108_T208-R1 - 973 LRR_1 PF00560.35 23 0.43 2.4 12.6 3 4 4.8 9.6 -1.7 0.1 1 12 595 606 595 617 0.70 -
108_T208-R1 - 973 LRR_1 PF00560.35 23 0.43 2.4 12.6 4 4 3.6 7.2 -1.3 0.2 1 12 725 736 725 750 0.84 -
108_T516-R1 - 921 LRR_1 PF00560.35 23 0.5 2.2 14.6 1 4 7.2 14 -2.2 0.1 2 13 537 548 536 555 0.74 -
108_T516-R1 - 921 LRR_1 PF00560.35 23 0.5 2.2 14.6 2 4 0.039 0.077 4.7 0.1 1 23 560 582 560 582 0.86 -
108_T516-R1 - 921 LRR_1 PF00560.35 23 0.5 2.2 14.6 3 4 0.21 0.42 2.5 0.3 1 14 584 597 584 629 0.83 -
108_T516-R1 - 921 LRR_1 PF00560.35 23 0.5 2.2 14.6 4 4 3 6 -1.0 1.8 1 22 702 724 702 739 0.74 -
108_T168-R1 - 887 LRR_1 PF00560.35 23 8.5 -1.5 18.0 1 5 0.058 0.12 4.2 0.2 1 23 571 593 571 593 0.83 -
108_T168-R1 - 887 LRR_1 PF00560.35 23 8.5 -1.5 18.0 2 5 2.9 5.8 -1.0 0.1 1 12 595 606 595 616 0.69 -
108_T168-R1 - 887 LRR_1 PF00560.35 23 8.5 -1.5 18.0 3 5 3.8 7.6 -1.3 0.4 1 1 641 641 618 668 0.60 -
108_T168-R1 - 887 LRR_1 PF00560.35 23 8.5 -1.5 18.0 4 5 3.1 6.3 -1.1 0.2 20 23 709 712 691 740 0.59 -
108_T168-R1 - 887 LRR_1 PF00560.35 23 8.5 -1.5 18.0 5 5 0.087 0.17 3.6 0.2 2 17 824 839 823 845 0.87 -
108_T390-R1 - 907 LRR_2 PF07723.15 26 0.11 4.0 15.3 1 6 0.71 16 -2.8 0.1 9 22 67 80 66 81 0.85 -
108_T390-R1 - 907 LRR_2 PF07723.15 26 0.11 4.0 15.3 2 6 0.61 14 -2.6 0.1 5 11 268 274 268 278 0.80 -
108_T390-R1 - 907 LRR_2 PF07723.15 26 0.11 4.0 15.3 3 6 0.045 0.98 1.0 0.0 2 15 576 589 575 591 0.87 -
108_T390-R1 - 907 LRR_2 PF07723.15 26 0.11 4.0 15.3 4 6 0.00012 0.0026 9.1 0.2 9 24 698 713 693 714 0.85 -
108_T390-R1 - 907 LRR_2 PF07723.15 26 0.11 4.0 15.3 5 6 0.8 18 -3.0 0.0 5 10 792 797 792 804 0.59 -
108_T390-R1 - 907 LRR_2 PF07723.15 26 0.11 4.0 15.3 6 6 0.042 0.93 1.1 0.1 1 11 842 852 842 856 0.92 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 1 9 0.00067 0.00074 10.6 0.2 7 38 517 549 515 554 0.85 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 2 9 3e-06 3.3e-06 18.1 0.0 3 42 560 597 558 602 0.88 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 3 9 2.5e-05 2.7e-05 15.2 0.0 5 38 585 620 583 625 0.89 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 4 9 0.0024 0.0026 8.9 0.1 2 30 605 636 604 648 0.87 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 5 9 2.1 2.3 -0.5 0.1 19 30 661 672 654 684 0.64 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 6 9 0.013 0.014 6.6 0.3 2 32 718 754 717 764 0.68 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 7 9 7e-05 7.7e-05 13.8 0.1 2 37 773 810 772 816 0.81 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 8 9 3.3 3.6 -1.1 0.0 22 30 850 858 820 871 0.55 -
108_T461-R1 - 910 LRR_4 PF12799.9 43 1e-15 48.3 22.7 9 9 4.9 5.4 -1.6 0.0 2 18 852 869 851 881 0.75 -
108_T319.1-R1 - 839 LRR_4 PF12799.9 43 4.5e-12 36.7 30.4 1 6 4.4e-05 4.9e-05 14.4 0.1 7 39 482 515 480 518 0.87 -
108_T319.1-R1 - 839 LRR_4 PF12799.9 43 4.5e-12 36.7 30.4 2 6 3.9e-06 4.3e-06 17.8 0.6 1 41 498 539 498 546 0.79 -
108_T319.1-R1 - 839 LRR_4 PF12799.9 43 4.5e-12 36.7 30.4 3 6 2.1e-05 2.3e-05 15.4 0.8 2 41 548 589 547 594 0.89 -
108_T319.1-R1 - 839 LRR_4 PF12799.9 43 4.5e-12 36.7 30.4 4 6 0.41 0.45 1.8 2.4 3 30 595 626 589 640 0.62 -
108_T319.1-R1 - 839 LRR_4 PF12799.9 43 4.5e-12 36.7 30.4 5 6 0.0005 0.00055 11.0 0.6 1 38 698 737 698 740 0.80 -
108_T319.1-R1 - 839 LRR_4 PF12799.9 43 4.5e-12 36.7 30.4 6 6 0.049 0.054 4.7 0.5 2 38 753 793 752 797 0.73 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 1 8 2.2 2.4 -0.5 0.0 7 24 105 123 105 128 0.73 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 2 8 0.0018 0.002 9.3 1.6 4 39 514 549 513 550 0.81 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 3 8 1e-07 1.1e-07 22.8 1.3 2 38 534 573 533 580 0.87 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 4 8 1.9e-05 2.1e-05 15.6 0.1 2 38 582 620 582 624 0.89 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 5 8 0.25 0.27 2.5 0.0 16 33 620 637 616 651 0.67 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 6 8 0.69 0.76 1.1 0.0 1 30 628 658 628 671 0.68 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 7 8 3.3 3.7 -1.1 0.1 23 40 762 777 753 780 0.63 -
108_T329-R1 - 856 LRR_4 PF12799.9 43 8.3e-12 35.9 19.0 8 8 0.59 0.65 1.3 0.0 17 34 818 835 800 841 0.77 -
108_T458-R1 - 882 LRR_4 PF12799.9 43 9.7e-12 35.7 20.0 1 6 1.6e-05 1.7e-05 15.8 0.7 1 42 539 581 539 585 0.85 -
108_T458-R1 - 882 LRR_4 PF12799.9 43 9.7e-12 35.7 20.0 2 6 4.5e-07 5e-07 20.7 0.6 2 40 589 629 588 634 0.89 -
108_T458-R1 - 882 LRR_4 PF12799.9 43 9.7e-12 35.7 20.0 3 6 0.011 0.012 6.8 0.6 1 30 611 641 611 657 0.75 -
108_T458-R1 - 882 LRR_4 PF12799.9 43 9.7e-12 35.7 20.0 4 6 8.6 9.4 -2.4 0.0 3 17 675 689 675 696 0.79 -
108_T458-R1 - 882 LRR_4 PF12799.9 43 9.7e-12 35.7 20.0 5 6 0.038 0.042 5.1 0.0 12 38 748 775 736 779 0.72 -
108_T458-R1 - 882 LRR_4 PF12799.9 43 9.7e-12 35.7 20.0 6 6 0.052 0.058 4.6 0.3 1 38 796 837 796 841 0.78 -
108_T495-R1 - 860 LRR_4 PF12799.9 43 5.3e-11 33.3 14.1 1 5 1.2e-06 1.3e-06 19.4 0.9 1 38 532 572 532 581 0.82 -
108_T495-R1 - 860 LRR_4 PF12799.9 43 5.3e-11 33.3 14.1 2 5 3.3e-06 3.7e-06 18.0 0.6 2 32 581 612 580 619 0.89 -
108_T495-R1 - 860 LRR_4 PF12799.9 43 5.3e-11 33.3 14.1 3 5 0.0066 0.0073 7.5 0.2 2 30 604 634 604 649 0.83 -
108_T495-R1 - 860 LRR_4 PF12799.9 43 5.3e-11 33.3 14.1 4 5 0.59 0.65 1.3 0.1 1 40 627 667 627 670 0.63 -
108_T495-R1 - 860 LRR_4 PF12799.9 43 5.3e-11 33.3 14.1 5 5 9.2 10 -2.5 0.1 15 37 759 782 758 785 0.61 -
108_T269-R1 - 890 LRR_4 PF12799.9 43 1.3e-10 32.1 17.6 1 7 0.0071 0.0079 7.4 0.1 4 37 520 550 518 555 0.83 -
108_T269-R1 - 890 LRR_4 PF12799.9 43 1.3e-10 32.1 17.6 2 7 1.4e-06 1.5e-06 19.2 0.1 3 42 541 580 539 588 0.82 -
108_T269-R1 - 890 LRR_4 PF12799.9 43 1.3e-10 32.1 17.6 3 7 0.00012 0.00013 13.0 0.5 2 39 588 627 587 632 0.89 -
108_T269-R1 - 890 LRR_4 PF12799.9 43 1.3e-10 32.1 17.6 4 7 0.011 0.012 6.8 3.0 1 33 610 643 610 651 0.77 -
108_T269-R1 - 890 LRR_4 PF12799.9 43 1.3e-10 32.1 17.6 5 7 1.1 1.2 0.5 1.3 2 30 634 666 633 673 0.59 -
108_T269-R1 - 890 LRR_4 PF12799.9 43 1.3e-10 32.1 17.6 6 7 0.95 1.1 0.6 0.0 7 37 751 783 745 787 0.64 -
108_T269-R1 - 890 LRR_4 PF12799.9 43 1.3e-10 32.1 17.6 7 7 0.06 0.066 4.5 0.0 2 41 802 843 801 845 0.77 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 1 9 1.4 1.6 0.1 0.0 8 28 105 126 104 130 0.83 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 2 9 0.0013 0.0014 9.8 0.4 3 39 517 553 515 555 0.81 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 3 9 3.9e-06 4.3e-06 17.7 2.4 2 39 538 578 537 584 0.88 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 4 9 1.3e-05 1.4e-05 16.1 0.7 2 33 562 595 561 602 0.81 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 5 9 0.0035 0.0039 8.4 0.6 2 37 586 623 585 629 0.70 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 6 9 0.0012 0.0014 9.8 1.0 1 30 608 639 608 650 0.82 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 7 9 8 8.8 -2.3 0.1 18 29 670 680 651 686 0.62 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 8 9 5.4 5.9 -1.7 0.0 23 37 768 783 759 786 0.70 -
108_T506-R1 - 857 LRR_4 PF12799.9 43 2.7e-10 31.1 18.3 9 9 2.3 2.6 -0.6 0.0 18 35 825 842 816 847 0.74 -
108_T207-R1 - 950 LRR_4 PF12799.9 43 1.1e-09 29.1 22.4 1 7 0.00012 0.00013 13.0 1.6 7 39 518 550 514 551 0.87 -
108_T207-R1 - 950 LRR_4 PF12799.9 43 1.1e-09 29.1 22.4 2 7 1.2e-06 1.3e-06 19.4 0.9 2 41 535 574 534 581 0.83 -
108_T207-R1 - 950 LRR_4 PF12799.9 43 1.1e-09 29.1 22.4 3 7 6.5e-05 7.1e-05 13.9 0.1 2 41 583 624 582 626 0.89 -
108_T207-R1 - 950 LRR_4 PF12799.9 43 1.1e-09 29.1 22.4 4 7 0.75 0.82 1.0 0.3 3 30 630 661 628 675 0.68 -
108_T207-R1 - 950 LRR_4 PF12799.9 43 1.1e-09 29.1 22.4 5 7 0.54 0.59 1.4 0.0 15 30 692 707 692 715 0.86 -
108_T207-R1 - 950 LRR_4 PF12799.9 43 1.1e-09 29.1 22.4 6 7 1.2 1.4 0.3 0.0 2 32 732 763 731 774 0.70 -
108_T207-R1 - 950 LRR_4 PF12799.9 43 1.1e-09 29.1 22.4 7 7 0.32 0.36 2.1 0.4 12 29 778 803 754 833 0.60 -
108_T516-R1 - 921 LRR_4 PF12799.9 43 2e-09 28.3 33.9 1 7 0.00014 0.00016 12.8 1.0 7 39 519 551 515 552 0.87 -
108_T516-R1 - 921 LRR_4 PF12799.9 43 2e-09 28.3 33.9 2 7 6.8e-07 7.5e-07 20.1 1.0 2 42 536 576 535 582 0.85 -
108_T516-R1 - 921 LRR_4 PF12799.9 43 2e-09 28.3 33.9 3 7 2.1e-05 2.3e-05 15.4 0.6 2 41 584 625 583 627 0.83 -
108_T516-R1 - 921 LRR_4 PF12799.9 43 2e-09 28.3 33.9 4 7 1.7 1.8 -0.1 0.5 3 29 631 661 628 673 0.56 -
108_T516-R1 - 921 LRR_4 PF12799.9 43 2e-09 28.3 33.9 5 7 0.01 0.011 6.9 1.3 15 35 693 715 693 719 0.80 -
108_T516-R1 - 921 LRR_4 PF12799.9 43 2e-09 28.3 33.9 6 7 0.12 0.13 3.5 3.7 2 38 702 739 701 762 0.81 -
108_T516-R1 - 921 LRR_4 PF12799.9 43 2e-09 28.3 33.9 7 7 0.11 0.12 3.7 0.5 20 31 779 797 769 822 0.74 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 1 8 0.26 0.29 2.4 0.2 6 35 521 551 516 558 0.75 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 2 8 1.3e-05 1.4e-05 16.1 1.0 1 31 563 595 563 602 0.90 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 3 8 0.0071 0.0078 7.4 0.0 15 43 601 631 597 631 0.84 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 4 8 0.0048 0.0053 7.9 0.3 1 30 610 640 610 650 0.84 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 5 8 0.83 0.91 0.8 1.9 2 31 634 667 633 673 0.62 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 6 8 6.5 7.1 -2.0 0.0 2 28 686 711 685 720 0.69 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 7 8 0.0084 0.0092 7.2 1.0 2 29 746 777 729 786 0.83 -
108_T319.2-R1 - 895 LRR_4 PF12799.9 43 3.4e-09 27.6 31.6 8 8 0.0015 0.0017 9.5 0.1 1 38 800 840 800 844 0.82 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 1 8 5.6 6.2 -1.8 0.4 22 41 580 596 574 598 0.64 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 2 8 3.4e-06 3.7e-06 17.9 2.9 2 38 605 642 604 653 0.86 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 3 8 3.8 4.2 -1.3 0.0 13 28 639 655 635 658 0.68 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 4 8 6.4 7 -2.0 0.0 23 33 684 693 676 714 0.49 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 5 8 3.7 4 -1.2 0.0 11 24 729 741 724 750 0.71 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 6 8 0.0023 0.0025 8.9 0.1 3 35 759 791 757 804 0.81 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 7 8 1.8 1.9 -0.2 0.0 19 35 822 839 803 846 0.70 -
108_T317-R1 - 927 LRR_4 PF12799.9 43 6.5e-08 23.5 21.2 8 8 0.074 0.082 4.2 0.0 19 36 870 890 851 894 0.66 -
108_T208-R1 - 973 LRR_4 PF12799.9 43 1.5e-06 19.2 28.2 1 6 2.1e-05 2.3e-05 15.4 1.0 2 42 524 564 523 570 0.85 -
108_T208-R1 - 973 LRR_4 PF12799.9 43 1.5e-06 19.2 28.2 2 6 2.4e-05 2.7e-05 15.2 0.4 2 41 572 613 571 615 0.82 -
108_T208-R1 - 973 LRR_4 PF12799.9 43 1.5e-06 19.2 28.2 3 6 0.77 0.84 0.9 0.2 3 30 619 650 618 664 0.67 -
108_T208-R1 - 973 LRR_4 PF12799.9 43 1.5e-06 19.2 28.2 4 6 0.64 0.7 1.2 0.0 15 33 681 698 681 702 0.85 -
108_T208-R1 - 973 LRR_4 PF12799.9 43 1.5e-06 19.2 28.2 5 6 1.2 1.3 0.3 0.1 22 38 723 740 714 753 0.69 -
108_T208-R1 - 973 LRR_4 PF12799.9 43 1.5e-06 19.2 28.2 6 6 2 2.2 -0.4 1.9 12 30 771 789 768 823 0.68 -
108_T473-R1 - 892 LRR_4 PF12799.9 43 1.8e-06 18.9 17.6 1 7 0.03 0.032 5.4 0.3 1 40 533 572 533 578 0.79 -
108_T473-R1 - 892 LRR_4 PF12799.9 43 1.8e-06 18.9 17.6 2 7 0.00011 0.00013 13.1 0.1 2 33 582 614 581 628 0.84 -
108_T473-R1 - 892 LRR_4 PF12799.9 43 1.8e-06 18.9 17.6 3 7 0.55 0.61 1.4 0.9 23 31 627 637 616 673 0.59 -
108_T473-R1 - 892 LRR_4 PF12799.9 43 1.8e-06 18.9 17.6 4 7 0.89 0.98 0.7 0.0 16 41 696 718 693 720 0.71 -
108_T473-R1 - 892 LRR_4 PF12799.9 43 1.8e-06 18.9 17.6 5 7 0.19 0.21 2.9 0.1 2 39 704 756 703 759 0.67 -
108_T473-R1 - 892 LRR_4 PF12799.9 43 1.8e-06 18.9 17.6 6 7 0.95 1 0.6 0.1 2 29 740 768 739 778 0.57 -
108_T473-R1 - 892 LRR_4 PF12799.9 43 1.8e-06 18.9 17.6 7 7 0.69 0.76 1.1 0.2 2 38 794 833 793 838 0.66 -
108_T483-R1 - 902 LRR_4 PF12799.9 43 6.1e-06 17.3 8.0 1 7 0.029 0.032 5.5 0.1 13 33 558 578 546 588 0.78 -
108_T483-R1 - 902 LRR_4 PF12799.9 43 6.1e-06 17.3 8.0 2 7 0.057 0.063 4.5 0.3 3 31 570 601 568 617 0.73 -
108_T483-R1 - 902 LRR_4 PF12799.9 43 6.1e-06 17.3 8.0 3 7 1.9 2.1 -0.3 0.2 2 30 594 623 593 629 0.77 -
108_T483-R1 - 902 LRR_4 PF12799.9 43 6.1e-06 17.3 8.0 4 7 0.11 0.12 3.6 0.2 2 20 665 684 643 714 0.72 -
108_T483-R1 - 902 LRR_4 PF12799.9 43 6.1e-06 17.3 8.0 5 7 4.7 5.2 -1.6 0.0 14 29 705 718 686 722 0.77 -
108_T483-R1 - 902 LRR_4 PF12799.9 43 6.1e-06 17.3 8.0 6 7 1.4 1.5 0.1 0.0 2 18 740 755 734 768 0.73 -
108_T483-R1 - 902 LRR_4 PF12799.9 43 6.1e-06 17.3 8.0 7 7 0.072 0.079 4.2 0.0 1 30 834 865 810 872 0.67 -
108_T168-R1 - 887 LRR_4 PF12799.9 43 3.8e-05 14.7 23.1 1 6 0.00083 0.00091 10.4 0.1 12 36 557 581 540 588 0.78 -
108_T168-R1 - 887 LRR_4 PF12799.9 43 3.8e-05 14.7 23.1 2 6 0.00041 0.00045 11.3 1.7 1 42 570 610 570 615 0.81 -
108_T168-R1 - 887 LRR_4 PF12799.9 43 3.8e-05 14.7 23.1 3 6 0.00064 0.0007 10.7 1.7 2 40 618 658 617 671 0.84 -
108_T168-R1 - 887 LRR_4 PF12799.9 43 3.8e-05 14.7 23.1 4 6 3.4 3.7 -1.1 0.0 24 35 708 719 689 739 0.67 -
108_T168-R1 - 887 LRR_4 PF12799.9 43 3.8e-05 14.7 23.1 5 6 0.69 0.76 1.1 0.1 2 40 718 759 709 778 0.69 -
108_T168-R1 - 887 LRR_4 PF12799.9 43 3.8e-05 14.7 23.1 6 6 1.6 1.7 -0.1 0.4 14 28 825 838 794 843 0.64 -
108_T413-R1 - 912 LRR_4 PF12799.9 43 4.7e-05 14.4 16.5 1 6 0.04 0.044 5.0 0.1 13 33 569 589 553 603 0.81 -
108_T413-R1 - 912 LRR_4 PF12799.9 43 4.7e-05 14.4 16.5 2 6 0.67 0.74 1.1 3.0 3 30 581 611 579 649 0.76 -
